DATE,TIME,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
12/8/16,18:12,40.7381179,-73.990856,0,0,0,0,0,0,0,0
12/8/16,8:12,40.7137109,-73.9190041,0,0,0,0,0,0,0,0
12/9/16,15:00,40.8516732,-73.8962046,0,0,0,0,0,0,0,0
12/9/16,15:08,40.5957085,-73.9650613,0,0,0,0,0,0,0,0
12/7/16,10:12,40.7013089,-73.9579876,0,0,0,0,0,0,0,0
12/9/16,15:09,40.6434562,-73.9727187,0,0,0,0,0,0,0,0
12/9/16,15:10,40.7392436,-73.9991845,0,0,0,0,0,0,0,0
12/7/16,10:12,40.7097865,-73.8204183,0,0,0,0,0,0,0,0
12/7/16,10:12,40.620125,-74.0147832,2,0,0,0,0,0,2,0
12/7/16,15:12,40.7404189,-73.805523,0,0,0,0,0,0,0,0
12/7/16,17:12,40.7529363,-73.9854869,0,0,0,0,0,0,0,0
12/7/16,17:12,40.710776,-73.7404013,0,0,0,0,0,0,0,0
12/7/16,17:12,40.5962057,-73.7687354,0,0,0,0,0,0,0,0
12/7/16,18:12,40.670532,-73.9302027,0,0,0,0,0,0,0,0
12/7/16,18:12,40.685512,-73.9742808,0,0,0,0,0,0,0,0
12/7/16,18:12,40.8133899,-73.9562587,0,0,0,0,0,0,0,0
12/7/16,18:12,40.8148942,-73.9387254,0,0,0,0,0,0,0,0
12/7/16,18:12,40.7301696,-73.8624165,0,0,0,0,0,0,0,0
12/7/16,18:12,40.5454921,-74.1721446,0,0,0,0,0,0,0,0
10/22/16,15:10,40.7531688,-73.9801739,1,0,1,0,0,0,0,0
10/22/16,16:10,40.7161366,-73.8184852,0,0,0,0,0,0,0,0
10/22/16,17:10,40.7703138,-73.9914004,0,0,0,0,0,0,0,0
10/22/16,17:10,40.6428276,-74.0946135,0,0,0,0,0,0,0,0
11/6/16,18:11,40.5911027,-73.9651429,1,0,1,0,0,0,0,0
12/7/16,22:12,40.821706,-73.9427296,1,0,1,0,0,0,0,0
11/6/16,2:11,40.6834668,-73.9485126,0,0,0,0,0,0,0,0
10/22/16,17:10,40.8466145,-73.9321158,0,0,0,0,0,0,0,0
10/22/16,17:10,40.7620943,-73.7569053,1,0,0,0,0,0,1,0
10/22/16,17:10,40.6328366,-74.0272301,2,0,0,0,0,0,2,0
10/22/16,19:10,40.6420578,-74.02042,0,0,0,0,0,0,0,0
10/22/16,21:10,40.6047439,-73.992322,1,0,0,0,0,0,1,0
12/7/16,2:12,40.7494017,-73.9917748,0,0,0,0,0,0,0,0
12/7/16,2:12,40.7516853,-73.8359987,0,0,0,0,0,0,0,0
12/7/16,3:12,40.6462302,-73.9076231,0,0,0,0,0,0,0,0
12/7/16,4:12,40.7031321,-73.8167895,0,0,0,0,0,0,0,0
12/7/16,7:12,40.6723395,-73.8928066,1,0,1,0,0,0,0,0
12/7/16,7:12,40.854393,-73.8619968,3,0,0,0,0,0,3,0
12/7/16,8:12,40.8571285,-73.8807926,0,0,0,0,0,0,0,0
12/7/16,8:12,40.8090681,-73.8541328,0,0,0,0,0,0,0,0
11/5/16,10:11,40.8068225,-73.9174784,0,0,0,0,0,0,0,0
12/7/16,8:12,40.7070998,-73.9564186,0,0,0,0,0,0,0,0
12/7/16,8:12,40.6758869,-73.9034649,0,0,0,0,0,0,0,0
12/6/16,10:12,40.6664063,-73.8026224,0,0,0,0,0,0,0,0
12/6/16,10:12,40.6866405,-73.9387567,1,0,0,0,0,0,1,0
12/6/16,10:12,40.6526435,-73.9497689,1,0,1,0,0,0,0,0
12/6/16,11:12,40.6834565,-73.9756156,0,0,0,0,0,0,0,0
12/6/16,11:12,40.7353916,-73.8950867,0,0,0,0,0,0,0,0
12/6/16,11:12,40.6932954,-73.8080116,0,0,0,0,0,0,0,0
10/22/16,21:10,40.7124628,-73.9924034,1,0,0,0,1,0,0,0
10/22/16,21:10,40.70127,-73.987711,1,0,0,0,0,0,1,0
10/22/16,22:10,40.7230044,-73.953136,0,0,0,0,0,0,0,0
10/22/16,22:10,40.6400004,-73.9019314,0,0,0,0,0,0,0,0
10/22/16,22:10,40.7614864,-73.8711885,0,0,0,0,0,0,0,0
10/22/16,23:10,40.762859,-73.9894015,0,0,0,0,0,0,0,0
10/22/16,2:10,40.7635572,-73.9777631,0,0,0,0,0,0,0,0
12/6/16,14:12,40.6379846,-73.9404696,0,0,0,0,0,0,0,0
12/6/16,14:12,40.6029498,-73.8993131,0,0,0,0,0,0,0,0
